Year: 1922, Tempo: 8, Count: 1
Year: 1922, Tempo: 11, Count: 4
Year: 1922, Tempo: 12, Count: 1
Year: 1924, Tempo: 6, Count: 1
Year: 1924, Tempo: 8, Count: 2
Year: 1924, Tempo: 9, Count: 1
Year: 1924, Tempo: 11, Count: 1
Year: 1925, Tempo: 7, Count: 1
Year: 1925, Tempo: 8, Count: 2
Year: 1925, Tempo: 9, Count: 2
Year: 1925, Tempo: 10, Count: 2
Year: 1926, Tempo: 6, Count: 2
Year: 1926, Tempo: 7, Count: 8
Year: 1926, Tempo: 8, Count: 6
Year: 1926, Tempo: 9, Count: 2
Year: 1926, Tempo: 12, Count: 1
Year: 1927, Tempo: 4, Count: 1
Year: 1927, Tempo: 5, Count: 1
Year: 1927, Tempo: 6, Count: 5
Year: 1927, Tempo: 7, Count: 5
Year: 1927, Tempo: 8, Count: 5
Year: 1927, Tempo: 9, Count: 13
Year: 1927, Tempo: 10, Count: 4
Year: 1927, Tempo: 11, Count: 5
Year: 1927, Tempo: 12, Count: 2
Year: 1928, Tempo: 5, Count: 1
Year: 1928, Tempo: 6, Count: 3
Year: 1928, Tempo: 7, Count: 16
Year: 1928, Tempo: 8, Count: 11
Year: 1928, Tempo: 9, Count: 3
Year: 1928, Tempo: 10, Count: 2
Year: 1928, Tempo: 11, Count: 12
Year: 1928, Tempo: 12, Count: 1
Year: 1929, Tempo: 5, Count: 1
Year: 1929, Tempo: 6, Count: 5
Year: 1929, Tempo: 7, Count: 35
Year: 1929, Tempo: 8, Count: 14
Year: 1929, Tempo: 9, Count: 17
Year: 1929, Tempo: 10, Count: 4
Year: 1929, Tempo: 11, Count: 14
Year: 1930, Tempo: 7, Count: 13
Year: 1930, Tempo: 8, Count: 8
Year: 1930, Tempo: 9, Count: 3
Year: 1930, Tempo: 10, Count: 1
Year: 1930, Tempo: 11, Count: 12
Year: 1931, Tempo: 4, Count: 1
Year: 1931, Tempo: 6, Count: 3
Year: 1931, Tempo: 7, Count: 16
Year: 1931, Tempo: 8, Count: 6
Year: 1931, Tempo: 9, Count: 5
Year: 1931, Tempo: 11, Count: 2
Year: 1932, Tempo: 4, Count: 1
Year: 1932, Tempo: 7, Count: 4
Year: 1932, Tempo: 8, Count: 3
Year: 1932, Tempo: 9, Count: 1
Year: 1932, Tempo: 12, Count: 2
Year: 1933, Tempo: 5, Count: 1
Year: 1933, Tempo: 8, Count: 2
Year: 1933, Tempo: 11, Count: 3
Year: 1934, Tempo: 6, Count: 2
Year: 1934, Tempo: 7, Count: 11
Year: 1934, Tempo: 8, Count: 9
Year: 1934, Tempo: 9, Count: 1
Year: 1934, Tempo: 11, Count: 1
Year: 1934, Tempo: 12, Count: 2
Year: 1935, Tempo: 7, Count: 10
Year: 1935, Tempo: 8, Count: 3
Year: 1935, Tempo: 9, Count: 8
Year: 1935, Tempo: 11, Count: 3
Year: 1936, Tempo: 1, Count: 1
Year: 1936, Tempo: 4, Count: 3
Year: 1936, Tempo: 6, Count: 3
Year: 1936, Tempo: 7, Count: 4
Year: 1936, Tempo: 8, Count: 3
Year: 1936, Tempo: 9, Count: 3
Year: 1936, Tempo: 10, Count: 2
Year: 1936, Tempo: 11, Count: 2
